"Name","State","Notes","User","Tags","Created","Runtime","Sweep","base_model","dtype","effective_wbits","eval_base","eval_datasets","model_seqlen","offload_activations","seed","trust_remote_code","use_fast_tokenizer","wandb","noise_level","wikitext2"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:59:16.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.134765625","false","[""wikitext2""]","4096","false","0","false","false","true","0.207397261520202","7.469209671020508"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:53.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.451171875","false","[""wikitext2""]","4096","false","0","false","false","true","0.13375421397753023","5.640045642852783"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:51.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.064453125","false","[""wikitext2""]","4096","false","0","false","false","true","0.22863112892561216","9.087732315063477"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:51.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.111328125","false","[""wikitext2""]","4096","false","0","false","false","true","0.21424653099124075","7.647777557373047"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:32.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.052734375","false","[""wikitext2""]","4096","false","0","false","false","true","0.23237572155360256","8.951683044433594"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:30.000Z","39","","meta-llama/Llama-2-7b-hf","auto","3.87109375","false","[""wikitext2""]","4096","false","0","false","false","true","0.0046705640314055755","5.117105484008789"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:29.000Z","38","","meta-llama/Llama-2-7b-hf","auto","1.041015625","false","[""wikitext2""]","4096","false","0","false","false","true","0.2361816442988674","9.227258682250977"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:23.000Z","97","","meta-llama/Llama-2-7b-hf","auto","3.9765625","false","[""wikitext2""]","4096","false","0","false","false","true","0.0040352534336766735","5.115901470184326"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:10.000Z","37","","meta-llama/Llama-2-7b-hf","auto","1.357421875","false","[""wikitext2""]","4096","false","0","false","false","true","0.15231777872842606","5.887604713439941"
"Llama-2-7b-hf","finished","-","","","2024-08-15T01:58:05.000Z","37","","meta-llama/Llama-2-7b-hf","auto","3.94140625","false","[""wikitext2""]","4096","false","0","false","false","true","0.004236790477395739","5.117105484008789"
